Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
163	273.62567	169.24316	 	224.78346	160.94882	 	227.39052	64.5365	*	249.66026	43.942307	*	283.86206	26.775862	 
164	274.79608	168.17598	 	226.23228	160.7441	 	226.04286	63.00714	*	246.63173	40.224552	*	279.9188	22.67094	 
165	275.48352	166.16484	 	227.25397	159.46825	 	221.34723	61.88889	*	239.81764	37.458824	*	273.1129	21.774193	*
166	275.46738	163.27718	 	227.36923	157.46924	 	216.15771	60.64765	*	232.92604	35.221893	*	266.47437	21.081196	*
167	274.6915	159.74467	 	226.61627	154.89536	 	211.54698	60.338924	*	227.25	34.625	*	260.4739	20.5	*
168	273.77084	156.66145	 	225.58333	152.69698	 	207.21242	60.787582	*	221.85152	34.67576	*	254.7521	20.306723	*
169	272.77225	153.8822	 	224.69084	150.37022	 	203.1129	61.396774	*	216.70122	34.77439	*	249.13158	20.350878	*
170	272.395	151.28	 	223.98148	147.72963	 	199.3726	62.022293	*	211.55263	35.04971	*	243.43333	20.3	*
171	271.68484	148.92654	 	223.25757	145.2197	 	195.77216	62.930378	*	206.60059	35.618343	*	237.72223	20.3547	*
172	271.4914	146.99138	 	222.66418	142.86568	 	192.83736	64.13253	*	202.07558	36.38372	*	232.17522	20.311966	*
173	271.39957	145.41214	 	222.23529	140.83089	 	190.27216	65.44304	*	197.38506	37.304596	*	226.8421	20.438597	*
174	271.3421	144.1923	 	222.00746	139.29105	 	187.82121	66.990906	*	193.28035	38.442196	*	221.11864	20.70339	*
175	271.368	143.288	 	221.8435	138.2939	 	185.91975	68.833336	*	189.07143	39.997143	*	215.78947	20.90351	*
176	271.38373	142.9845	 	221.90442	137.77206	 	183.9759	70.59036	*	185.23596	41.7191	*	210.4913	21.030436	*
177	271.33206	142.9084	 	221.73529	137.50735	 	182.20415	72.36391	*	181.60497	43.151936	*	205.27193	21.236841	*
178	271.26865	143.33209	 	221.67911	137.7388	 	180.27576	73.84545	*	177.88673	44.676796	*	199.8793	21.560345	*
179	271.17526	143.70296	 	221.573	138.04015	 	178.1568	75.59467	*	174.17416	46.297752	*	194.65178	21.741072	*
180	271.0861	144.27289	 	221.5	138.94118	 	175.76627	76.78403	*	170.43956	47.57143	*	189.36607	21.8125	*
181	271.02747	144.69048	 	221.21533	139.76277	 	173.54167	78.5119	*	166.75824	48.917583	*	183.9	21.845455	*
182	270.86786	145.14642	 	221.05882	140.57353	 	171.429	79.71302	*	162.96927	50.40503	*	178.5	22.195652	*
183	270.86072	145.31429	 	221.11765	141.33089	 	169.72156	80.95509	*	159.70111	51.784916	*	173.20435	22.291304	*
184	270.93356	145.15034	 	221.28261	142.27536	 	168.20122	82.060974	*	156.20787	52.893257	*	167.6282	22.346153	*
185	271.2168	144.93007	 	221.59775	143.297	 	166.58589	82.41411	*	153.02515	53.963688	*	162.34348	22.31739	*
186	271.6555	144.5106	 	221.95926	144.55927	 	165.60559	82.48758	*	149.92134	54.41011	*	156.6913	22.456522	*
187	271.6142	144.00865	 	222.22388	145.83582	 	164.58075	82.2205	*	147.24854	54.95614	*	151.40434	22.378262	*
188	271.26843	143.91754	 	222.22728	147.09848	 	163.70253	81.67088	*	144.58876	55.12722	*	146.13963	22.418919	*
189	271.06793	144.01917	 	222.1923	148.04616	 	163.43082	81.179245	*	142.37428	55.654285	*	140.9649	22.561403	*
190	270.94864	144.40411	 	222.11111	148.63492	 	162.8718	81.839745	*	141.17252	56.938595	*	136.42308	23.009615	*
191	270.72836	144.88754	 	221.9758	148.91936	 	163.09146	85.20731	 	142.72905	59.483242	*	133.90207	24.63402	*
192	270.3993	145.10417	 	221.61111	149.0873	 	164.5	90.15644	 	147.03297	62.824177	*	133.57594	27.803797	*
193	269.9863	145.16096	 	220.77777	149.22223	 	166.81482	95.35185	 	151.69893	67.02688	*	136.51176	32.217648	*
194	269.3456	144.99123	 	219.87903	149.04033	 	168.9129	100.38387	 	156.78334	71.28333	*	142.04082	36.27551	*
